Subj,Trial,vWTP,MarketChange,AbsMarketChange,group_0placebo
1,15,0,-13.54841822,13.54841822,0
1,83,0,-11.90471881,11.90471881,0
1,122,0,-11.22491202,11.22491202,0
1,67,0,-11.10166168,11.10166168,0
1,121,0,-10.69606393,10.69606393,0
1,7,0,-10.30686183,10.30686183,0
1,13,0,-10.09160816,10.09160816,0
1,116,0,-9.793061084,9.793061084,0
1,49,0,-9.577325832,9.577325832,0
1,137,-1,-9.455148774,9.455148774,0
1,25,-1,-8.685689949,8.685689949,0
1,79,0,-7.989683271,7.989683271,0
1,176,0,-7.838731823,7.838731823,0
1,155,0,-7.429993933,7.429993933,0
1,154,0,-7.418955166,7.418955166,0
1,43,-1,-7.019622784,7.019622784,0
1,120,0,-6.834665894,6.834665894,0
1,75,0,-6.816702016,6.816702016,0
1,162,0,-6.58702397,6.58702397,0
1,78,0,-6.472184467,6.472184467,0
1,142,-1,-6.307364814,6.307364814,0
1,84,-2,-6.225329987,6.225329987,0
1,177,0,-6.170279447,6.170279447,0
1,60,0,-5.917951109,5.917951109,0
1,45,0,-5.907415389,5.907415389,0
1,52,-1,-5.798038452,5.798038452,0
1,175,0,-5.553293581,5.553293581,0
1,115,0,-5.254040652,5.254040652,0
1,103,0,-5.116950463,5.116950463,0
1,2,-1,-5.021192598,5.021192598,0
1,95,0,-4.872777599,4.872777599,0
1,180,0,-4.815204351,4.815204351,0
1,145,0,-4.636870108,4.636870108,0
1,167,0,-4.624137019,4.624137019,0
1,170,0,-4.588037331,4.588037331,0
1,111,0,-4.579460702,4.579460702,0
1,156,0,-4.57459954,4.57459954,0
1,130,0,-4.545439396,4.545439396,0
1,88,0,-4.437432015,4.437432015,0
1,55,-1,-4.350054337,4.350054337,0
1,96,0,-4.106869092,4.106869092,0
1,193,0,-4.05563919,4.05563919,0
1,106,-1,-3.98182224,3.98182224,0
1,97,0,-3.838537211,3.838537211,0
1,184,0,-3.677786512,3.677786512,0
1,61,0,-3.46576495,3.46576495,0
1,117,0,-3.461834645,3.461834645,0
1,26,-1,-3.201983159,3.201983159,0
1,64,0,-3.166655221,3.166655221,0
1,29,0,-3.146494984,3.146494984,0
1,14,0,-3.090292532,3.090292532,0
1,186,1,-3.045263987,3.045263987,0
1,41,1,-2.947544858,2.947544858,0
1,140,0,-2.930271988,2.930271988,0
1,33,0,-2.909366923,2.909366923,0
1,74,0,-2.893773781,2.893773781,0
1,189,0,-2.886022201,2.886022201,0
1,16,0,-2.829029055,2.829029055,0
1,123,0,-2.715870881,2.715870881,0
1,160,0,-2.691835184,2.691835184,0
1,113,0,-2.524376725,2.524376725,0
1,188,0,-2.42079067,2.42079067,0
1,46,0,-2.333559296,2.333559296,0
1,191,0,-2.289542348,2.289542348,0
1,150,1,-2.254907655,2.254907655,0
1,56,0,-2.145065946,2.145065946,0
1,35,1,-2.115864614,2.115864614,0
1,98,0,-2.111064863,2.111064863,0
1,179,0,-2.040742963,2.040742963,0
1,127,0,-1.997016282,1.997016282,0
1,31,0,-1.933660435,1.933660435,0
1,80,0,-1.87874151,1.87874151,0
1,158,-1,-1.857817559,1.857817559,0
1,68,0,-1.797530772,1.797530772,0
1,39,0,-1.523874601,1.523874601,0
1,108,0,-1.36489404,1.36489404,0
1,187,0,-1.261159317,1.261159317,0
1,194,0,-1.25221134,1.25221134,0
1,178,0,-1.168900577,1.168900577,0
1,57,0,-0.801737886,0.801737886,0
